HIP,RA_rad,Dec_rad,parallax,pmRA,pmDec,HpMag
6670,0.3735884014,-0.2547963315,11.34,42.94,-17.26,5.0612
6686,0.3744169753,1.0513061203,32.81,296.57,-49.22,2.7146
6692,0.3749479305,1.1890919,16.72,75.5,26.93,4.8899
6706,0.3763568871,0.3346201252,39.66,-26.89,11.12,5.4375
6732,0.3782744497,0.335811203,11.69,50.6,-57.87,5.6657
6748,0.3789950792,-0.2278795009,26.69,13.32,9.31,5.5926
6813,0.3824514652,0.7925008289,34.94,356.99,-109.4,4.9223
6867,0.3855680843,-0.7560369968,13.96,-18.06,-208.63,3.5329
6960,0.3909610427,-0.3775033158,14.01,56.11,3.54,5.1255
6999,0.3931428348,0.8204335015,11.09,0.06,-41.87,5.4338
7007,0.3934948878,0.1072318645,10.73,292,-45.95,4.9799
7078,0.3980455062,1.2263519142,34.51,138.01,-75.75,5.93
7083,0.3981518924,-0.8564867686,22.95,138.38,153.89,4.0987
7097,0.3991708965,0.2678352776,9.33,27.14,-2.64,3.7914
7118,0.4002077481,-0.5285367488,9.77,-4.51,-63.48,5.9572
7213,0.4055019591,-0.6434188032,11.85,1.39,-20.16,5.6515
7251,0.4076585803,1.0180042158,1.48,4.22,-4.23,5.8247
7276,0.4088966916,-0.1226118725,33.88,175.19,-82.3,5.886
7294,0.4098561104,1.0337951096,15.67,-43.03,-22.31,4.8477
7321,0.411359359,0.6499116995,6.97,13.58,-21.9,5.8861
7345,0.4128955503,-0.2736039727,16.84,94.84,-3.14,5.6475
7359,0.4137192024,0.3221995139,6.13,30.65,-66.04,5.9918
7450,0.4188031885,-0.2687844708,5.97,20.43,13.36,5.5783
7463,0.4194919951,-0.5219831959,14.42,117.37,46.72,5.7687
7513,0.422368004,0.7226777448,74.12,-173.33,-381.8,4.2118
7535,0.4236758649,0.2119093387,28.5,-77.29,9.13,5.6279
7568,0.4252625646,-1.4795094978,8.57,34.69,21.77,5.8263
7607,0.4275694742,0.848727197,18.41,61.95,-112.15,3.7515
7617,0.4281557086,1.0119007945,1.87,2.61,-6.3,5.7152
7650,0.4298557559,1.2747897398,7.12,-11.24,-13.53,5.4463
7679,0.4313659674,-0.3713270817,12.94,128.9,36.17,5.6627
7719,0.4334975376,0.7746840776,13.03,-19.78,15.4,5.1627
7751,0.4354046475,-0.9808129451,127.84,282.16,10.56,5.9046
7818,0.4388633437,0.7082041032,4.58,15.99,-23.76,4.9376
7825,0.4392092334,0.755688531,14.37,109.41,-31.97,5.6994
7884,0.4425796899,0.0957767696,8.98,-23.36,3.36,4.5914
7916,0.4439534529,-0.19763529,25.35,57.89,-413,5.8455
7918,0.4440783613,0.7437512372,78.5,791.47,-180.8,5.0839
7921,0.4441828112,-1.0609724034,8.97,13.68,-39.55,5.8647
7941,0.4452782343,-0.642844281,10.74,-29.47,-16.96,5.7106
7943,0.4453102087,0.6151546804,11.87,48.81,-25.49,5.6163
7955,0.4456876625,-0.5642100969,15.18,-71.07,-51.06,5.4202
7965,0.4465457099,1.1875751936,8.39,52.54,-10.04,5.5571
7978,0.4471788831,-0.9379499709,57.36,166.32,-106.52,5.6378
7981,0.4472369671,0.3537808657,132.76,-302.42,-678.88,5.3905
7999,0.4482236009,-0.0644046879,2.74,-10,-34.84,5.1677
8016,0.4491116874,1.2325961795,11.75,76.87,-14.03,5.1822
8046,0.4508576337,1.0568207884,3.12,14.29,-15.11,5.7809
8068,0.4523031868,0.8846858499,4.54,24.59,-14.01,3.9801
8102,0.4541584879,-0.2781977287,273.96,-1721.05,854.16,3.6295
8198,0.459864349,0.1598309944,11.67,72.98,39.3,4.4267
8209,0.4609599638,-0.4372474571,35.57,159.36,-73.17,5.3833
8230,0.4624588563,-0.1000636903,5.92,-10.36,-30.34,5.4934
8240,0.4629432053,-0.8869102328,5.14,42.43,-17.52,5.5513
8241,0.4629586851,-0.9341382719,16.12,126.95,59.63,5.0555
8362,0.4700800101,1.1144468558,99.33,582.03,-246.93,5.7673
8387,0.4720317621,0.2959315839,11.85,54.72,-33.6,5.853
8433,0.4742698661,0.5705391804,35.9,-166.85,297.38,5.9059
8497,0.4781613889,-0.1865090345,43.13,-148.11,-93.43,4.7411
8544,0.480589518,0.3887783069,5.57,-16.52,-8.25,5.9716
8593,0.4839273484,-0.8762622245,12.96,-48.27,-4.42,5.9906
8645,0.4863367693,-0.1803788229,13.88,40.8,-37.25,3.9067
8704,0.4886418172,0.9625037867,2.52,12.05,-9.18,5.469
8714,0.4893724382,0.8865027052,6.76,18.72,-28.63,5.6854
8778,0.4924801126,-0.2954689492,10.62,42.72,-51.3,5.8565
8796,0.49341184,0.5162578708,51.5,10.82,-234.24,3.521
8814,0.494317375,0.7108691109,5.17,-9.52,-3.53,5.5725
8832,0.4953655907,0.3367454416,19.88,79.2,-97.63,3.8584
8833,0.4954798082,0.0556319937,18.21,24.48,25.99,4.7687
8837,0.4958785616,-0.8081301415,9.54,-93.16,-91.17,4.4099
8882,0.4990231074,-0.7417104964,10.63,-33.91,-28.17,5.106
8886,0.4991411472,1.1112536973,7.92,32.09,-18.94,3.3107
8903,0.5002076818,0.3631733438,55.6,98.74,-110.41,2.7044
8928,0.5014923468,-1.1806712765,14.91,76.22,72.94,4.8442
